id,parent_id,created_time,message
1623411344548951_1705676019655816,NULL,2015-09-07T11:43:32+0000,"Want to change the world with us. 
Grab the chance."
1623411344548951_1690348234521928,NULL,2015-07-25T08:15:58+0000,Share your reactions towards technology and its problems with us. As we are busy in preparing solutions for it. MOving step ahead with your effort in creating advance techical life.
1623411344548951_1684250435131708,NULL,2015-07-09T13:33:07+0000,"Violet Labz is upgrading its full-proof access management system, that can be easily installed in universities, colleges, hostels, banks, offices etc.
Your Need, Our Deed :) #Violetlabz"
1623411344548951_1683931681830250,NULL,2015-07-08T12:55:46+0000,"Its never too hard to get a solution until you share ur doubts, because your queries provide us better guidance in creating #SMART #SOLUTIONS"
1623411344548951_1683709555185796,NULL,2015-07-07T18:28:12+0000,"OUR TriBute To THE HERO of KARGIL WAR------
CAPT. VIKRAM BATRA (PVC)

#Violetlabz -- Your Need, Our Deed"
1623411344548951_1683685131854905,NULL,2015-07-07T16:18:15+0000,"#Violetlabz -- Your Need, Our Deed :-)"
1623411344548951_1683344491888969,NULL,2015-07-06T18:48:43+0000,"#Violetlabz -- Your Need, Our Deed :-)"
1623411344548951_1682378861985532,NULL,2015-07-03T18:18:56+0000,"Its all about Technologies, Solutions and Best path that creates your life and we believe in achieving it with your NEED and our DEED"
1623411344548951_1682294848660600,NULL,2015-07-03T12:01:50+0000,"MISSION,VISION & VALUES-----

We Have Mission,Vision & Values In OuR Mind
To Explore the World Of A New Kind....................
To Get Through the Shore , Explore Some More...........

We Want to ""RAISE OuR VOICE""
To become ""PEOPLE'S FIRST CHOICE""....................

We want to achieve People's Delight
With quality & Associate's PRIDE to reach new Heights..................

To Transform Imagination of OuR Dreams
To become Innovation with new MISSION Schemes........

We NEVER EXPECT Anything !!!!!!!
What We GOT........
We  RESPECT EVERYTHING !!!!!

We  Integrate  OuR self with VALUES,We  see OuRself as a  """"TEAM"""""""",
NOT with WHAT WORLD VIEWS................

OuR Mission is to Contribute Globally,
For OuR NATION, For OuR  COUNTRY !!!!!

To Explore the World of A NEW KIND

We HAVE MISSION............VISION..............& VALUES   in OuR  MIND !!!!!

#Violetlabz -- Your Need, Our Deed :-)"
1623411344548951_1681788908711194,NULL,2015-07-01T16:12:36+0000,"Yes We KnOw That We ArE a StArt-Up & aRe NoT ""FaVourites"" BuT You kNoW wHaT-- 

""Favourites"" remain ""Favourites"", And
""Underdogs"" Become ""Champions"" !!!

#Violetlabz -- Your Need, Our Deed :-)"
1623411344548951_1681139738776111,NULL,2015-06-30T12:53:40+0000,We welcome Mr. Arham Siddiqui as the CR Executive of Violet Labz
1623411344548951_1681043648785720,NULL,2015-06-30T06:07:41+0000,"Your Need , Our Deed !"
1623411344548951_1680859728804112,NULL,2015-06-29T16:47:13+0000,"Violet Labz: Creating smart solutions for day to day necessities.

With a staunch belief in confluencing ideas to produce handy solutions, four keen technocrats initiated the idea to provide easy and accessible solutions in the technological front.

Now, why we?

Your problems, our solutions.

Your need, our deed.

We believe in constructing relationships, taking professional bonds to a newer horizon.

Technically Yours,

The Violet Labz."
1623411344548951_1680814505475301,NULL,2015-06-29T13:09:48+0000,"POS--POINT OF SALE 

A retail point of sale system typically includes a cash register (which in recent times comprises a computer, monitor, cash drawer, receipt printer, customer display and a barcode scanner) and the majority of retail POS systems also include a debit/credit card reader."
1680814505475301_2128407950715952,1623411344548951_1680814505475301,2018-04-18T02:52:51+0000,Nice work
